Document samples/pg2701.txt
stowing 3 1.43136
doubloon 21 10.0195
least 76 13.3829
interesting 8 3.81697
spots 3 1.43136
hill 18 3.16964
exterminates 1 0.477121
mendanna 1 0.477121
arm 90 0
destinations 1 0.477121
violets 2 0.954243
fates 6 2.86273
interdicted 1 0.477121
packet 3 1.43136
dick 89 42.4638
epicurean 1 0.477121
jail 2 0.954243
usher 2 0.954243
arsacides 4 1.90849
equity 1 0.477121
must 293 0
mote 1 0.477121
religion 7 1.23264
forecastle 39 18.6077
cultivated 1 0.477121
unfolding 1 0.477121
ambergris 14 6.6797
loveliness 2 0.954243
incidents 1 0.477121
decanter 3 1.43136
moods 5 2.38561
fear 33 5.81101
wal 1 0.477121
kink 2 0.954243
tone 6 1.05655
unrighteous 1 0.477121
sled 1 0.477121
humps 1 0.477121
innuendoes 1 0.477121
analogical 1 0.477121
october 1 0.477121
sleeper 9 4.29409
accumulating 1 0.176091
judicious 1 0.477121
lobes 2 0.954243
overclouded 1 0.477121
too 185 32.5769
yale 2 0.954243
splinters 5 2.38561
emphasis 2 0.954243
credible 1 0.477121
visited 7 3.33985
advocate 4 1.90849
springy 1 0.477121
von 2 0
sorrowful 1 0.176091
unusually 5 2.38561
commonwealth 1 0.477121
admitting 2 0.954243
fancied 9 4.29409
cherished 3 0.528274
seats 2 0.954243
pry 4 1.90849
deepeningly 1 0.477121
persecutor 1 0.477121
bulwarks 38 18.1306
jettest 1 0.477121
frames 1 0.477121
jonathan 1 0.477121
deformed 3 1.43136
tornadoes 3 1.43136
depend 5 2.38561
supposed 15 2.64137
carey 1 0.477121
aft 32 15.2679
apostolic 2 0.954243
lightning 28 13.3594
pillar 2 0.352183
fedallah 28 13.3594
inconsiderable 3 1.43136
palate 1 0.477121
assailant 2 0.954243
region 5 0.880456
leaner 1 0.477121
whelmed 3 1.43136
fixed 38 6.69147
file 7 0
aspersion 1 0.477121
intermixingly 1 0.477121
ornamental 1 0.176091
gospel 2 0.954243
instances 31 14.7908
head 348 61.2798
thanks 2 0.352183
arc 2 0.954243
symphony 2 0.954243
utterly 13 2.28919
guarantee 1 0.477121
ahaz 1 0.477121
yielded 2 0.954243
ll 115 0
number 28 0
mortality 1 0.477121
fashioned 12 2.1131
unpleasant 3 1.43136
undetached 1 0.477121
various 38 6.69147
inferiority 2 0.954243
over 410 72.1974
blindfold 1 0.477121
interlude 4 1.90849
consternations 1 0.477121
spiralizes 1 0.477121
undecided 1 0.477121
john 13 6.20258
consequences 2 0.954243
viewed 5 0
pulpits 2 0.954243
text 6 0
os 1 0.477121
snuffers 1 0.477121
chemistry 1 0.477121
michael 2 0
nate 1 0.477121
inestimable 2 0.954243
barrow 4 0.704365
policeman 1 0.477121
their 620 109.177
cowper 2 0.954243
random 5 2.38561
watchmen 1 0.477121
deserted 5 0.880456
statutory 1 0.477121
possibly 30 14.3136
wont 9 1.58482
rust 5 0.880456
monstrous 12 2.1131
newly 6 2.86273
convey 1 0.477121
cuvier 11 5.24833
kinsmen 1 0.176091
ignite 1 0.477121
unrolled 1 0.477121
foamin 1 0.477121
pleasing 1 0.176091
splintered 7 3.33985
prevalent 1 0.477121
lowering 19 3.34573
dressing 1 0.477121
mackerel 1 0.477121
bathe 2 0.954243
pines 3 1.43136
severest 4 1.90849
could 217 0
behind 50 8.80456
samuel 11 5.24833
falsehood 1 0.176091
story 51 8.98065
wander 1 0.176091
attest 1 0.477121
sympathies 2 0.954243
holies 1 0.477121
resounds 2 0.954243
suspends 1 0.176091
abundance 4 0.704365
was 1647 0
since 65 11.4459
tinkers 2 0.954243
wash 5 2.38561
populousness 1 0.477121
sich 1 0.176091
hadst 1 0.477121
c 8 0
groove 1 0.477121
spanned 1 0.477121
pausing 10 4.77121
thirteenth 1 0.176091
dust 10 0
extremes 1 0.477121
full 136 0
biography 1 0.477121
skilful 2 0.954243
amphitheatrical 1 0.477121
orthodoxy 1 0.477121
obliquity 1 0.477121
sabbath 4 1.90849
refused 4 0.704365
happen 8 1.40873
authentic 3 0.528274
foggy 1 0.477121
leg 91 16.0243
consequently 4 1.90849
forge 13 6.20258
uncertain 10 4.77121
patted 1 0.477121
unfamiliar 1 0.477121
rot 3 1.43136
constrainings 1 0.477121
wapping 2 0.954243
connecting 3 1.43136
grove 3 1.43136
couch 1 0.477121
consistency 1 0.477121
inferiors 1 0.477121
slept 4 1.90849
daggoo 37 17.6535
play 29 5.10665
less 54 9.50893
subterraneous 3 1.43136
daughters 4 1.90849
induce 5 2.38561
expectantly 2 0.954243
be 1062 0
zeal 2 0.954243
another 115 20.2505
manipulator 1 0.477121
disclosures 2 0.954243
break 23 4.0501
credits 1 0
opine 3 1.43136
mildly 10 4.77121
departing 1 0.176091
shine 3 1.43136
hypothesize 1 0.477121
retiring 3 0.528274
insurance 4 1.90849
reeled 6 2.86273
one 925 0
necessary 7 3.33985
remote 11 5.24833
symptoms 6 2.86273
sections 1 0
future 18 0
chinese 5 2.38561
united 24 0
recovers 1 0.477121
candles 10 4.77121
northwards 1 0.477121
indebted 2 0.954243
temper 3 1.43136
wheelbarrow 4 1.90849
inferentially 1 0.477121
colorless 1 0.477121
castor 3 1.43136
hoof 2 0.954243
impulsively 1 0.477121
wales 1 0.477121
lacquered 2 0.954243
chisel 2 0.954243
roving 2 0.954243
d 77 0
mediterranean 9 4.29409
ramadan 12 5.72546
bidden 2 0.352183
ger 1 0.176091
formation 3 1.43136
