Document samples/pg2701.txt
bodily 26 4.57837
playful 3 1.43136
intercourse 1 0.477121
principle 9 4.29409
skirted 2 0.954243
fumbling 3 1.43136
fain 20 3.52183
posted 7 0
scalding 4 1.90849
darkened 2 0.954243
fought 4 0.704365
venting 1 0.477121
twos 3 1.43136
recently 6 1.05655
load 3 1.43136
hydriote 1 0.477121
pequod 178 84.9276
honor 25 4.40228
universe 6 2.86273
rabble 1 0.477121
gape 1 0.477121
complexioned 2 0.954243
sweetest 2 0.954243
individualizing 1 0.477121
phospher 1 0.477121
mangles 1 0.477121
impersonated 1 0.477121
shake 16 7.63394
meat 12 5.72546
plaintive 1 0.477121
indicating 1 0
andes 7 3.33985
goddess 1 0.477121
gastric 1 0.477121
inhaling 2 0.954243
beards 3 1.43136
literally 5 0.880456
leper 1 0.477121
chap 13 6.20258
soever 1 0.176091
lament 1 0.176091
spending 6 2.86273
confounded 4 1.90849
icelandic 3 1.43136
likes 3 0.528274
wounds 1 0.176091
began 53 9.33284
suspicious 4 1.90849
company 33 15.745
rocks 17 8.11106
pirohitee 1 0.477121
windy 1 0.477121
princess 1 0.477121
promptitude 1 0.477121
spend 9 4.29409
grampus 5 2.38561
pocket 12 5.72546
concernment 2 0.954243
passengers 5 2.38561
ross 3 1.43136
comprehending 2 0.954243
superadd 1 0.477121
hurrah 10 4.77121
news 11 1.937
brush 1 0.477121
feegees 1 0.477121
coenties 1 0.477121
basket 5 2.38561
windlass 22 10.4967
flask 109 52.0062
duelled 1 0.477121
muffled 9 4.29409
solemnity 2 0.954243
gentlemen 38 18.1306
survive 6 0
legs 36 17.1764
disincline 1 0.477121
ticks 1 0.477121
valparaiso 1 0.477121
quit 9 1.58482
stagnant 1 0.477121
straight 46 8.1002
everything 20 3.52183
sailmakers 1 0.477121
sisterly 1 0.477121
labrador 3 1.43136
distinction 4 0.704365
other 434 0
crackled 1 0.176091
dreary 6 1.05655
goodwin 1 0.477121
singular 9 4.29409
anyway 1 0.477121
officiating 1 0.477121
elijah 15 7.15682
uncomfortable 3 1.43136
queens 5 0.880456
encouraged 1 0.176091
gin 4 1.90849
swore 7 1.23264
brought 38 6.69147
nooks 3 1.43136
ponchos 1 0.477121
penalties 1 0.477121
testaments 1 0.477121
brilliancy 3 1.43136
sovereign 4 0.704365
candidate 3 1.43136
between 120 21.131
sarmon 1 0.477121
constrained 2 0.954243
cabalistical 1 0.477121
loading 3 1.43136
mounted 14 2.46528
fine 59 10.3894
catarrhs 1 0.477121
knot 7 3.33985
promontory 5 0.880456
barrel 5 2.38561
miles 32 15.2679
maketh 5 0.880456
welcome 6 1.05655
blended 5 2.38561
destroy 6 0
wrist 6 2.86273
abominated 1 0.477121
logged 1 0.477121
renders 2 0.352183
faithfulness 2 0.954243
aloof 1 0.176091
retained 10 1.76091
purchased 4 0.704365
writer 2 0.954243
wane 2 0.954243
preventer 1 0.477121
towering 3 0.528274
opined 1 0.477121
proprietary 1 0
provided 10 0
hearth 7 1.23264
withdrawal 1 0.477121
hilarity 1 0.477121
tawn 2 0.954243
acquiescence 1 0.477121
recollection 2 0.954243
stranger 48 8.45238
brawniness 1 0.477121
bag 23 10.9738
drawing 33 15.745
emperors 5 2.38561
yoke 3 1.43136
capsized 3 1.43136
mouse 3 1.43136
eleventh 1 0.477121
wat 1 0.477121
whole 137 24.1245
shetland 2 0.954243
wharves 5 2.38561
dam 19 9.0653
unshored 2 0.954243
unnearable 2 0.954243
refrained 4 1.90849
yarman 7 3.33985
sunlight 6 2.86273
calais 1 0.477121
ordained 2 0.954243
shad 2 0.954243
separable 1 0.477121
unenforceability 1 0
foible 1 0.477121
repel 1 0.477121
become 28 4.93056
peer 1 0.477121
fin 34 5.9871
tilting 2 0.954243
shipmate 12 5.72546
owen 6 2.86273
partner 2 0.954243
planks 31 14.7908
pulling 24 11.4509
loveliest 1 0.477121
shouting 5 0.880456
chest 26 12.4052
infantileness 1 0.477121
contemptuously 1 0.477121
away 186 0
barriers 1 0.477121
elders 1 0.176091
thoughtfully 1 0.477121
brown 8 3.81697
lovers 3 1.43136
betokened 4 1.90849
heir 1 0.176091
sill 2 0.352183
effulgent 2 0.954243
puffed 1 0.477121
spray 16 7.63394
dissolve 1 0.477121
plunder 2 0.352183
ceti 3 1.43136
has 294 0
aim 3 0.528274
lonely 12 2.1131
reelingly 1 0.477121
hostilely 1 0.477121
riotous 4 1.90849
dissimilar 2 0.954243
assures 2 0.954243
alleghanian 1 0.477121
severe 5 2.38561
insolent 1 0.477121
revelry 5 2.38561
contribute 4 1.90849
society 9 4.29409
version 6 0
wet 11 5.24833
comrade 9 4.29409
minutes 21 10.0195
horned 1 0.176091
capering 2 0.954243
bulkington 8 3.81697
vermont 1 0.477121
cruelty 1 0.176091
clock 16 7.63394
seemed 283 49.8338
conceded 1 0.477121
bamboozle 1 0.477121
garden 6 2.86273
postpone 1 0.477121
seeming 8 3.81697
embark 5 2.38561
coleman 2 0.954243
rescued 2 0.352183
supernaturally 1 0.477121
thunders 3 1.43136
once 149 26.2376
updated 2 0
ahabs 1 0.477121
know 153 0
doom 16 2.81746
faith 15 2.64137
differ 2 0.954243
fish 171 81.5877
molest 1 0.477121
brim 3 0.528274
necessaries 1 0.477121
private 13 2.28919
demanding 3 1.43136
yell 1 0.477121
glitters 1 0.477121
harmony 1 0.176091
marbleized 1 0.477121
worsted 3 0.528274
crush 4 0.704365
provinces 1 0.477121
deceitfulness 2 0.954243
comes 53 9.33284
abundantly 2 0.352183
compactness 1 0.477121
understand 18 0
repugnance 3 1.43136
multiply 1 0.477121
anybody 10 4.77121
richardson 1 0.477121
unrecking 1 0.477121
pairs 3 1.43136
montgomery 1 0.477121
deep 70 12.3264
there 871 0
molasses 2 0.954243
clotted 2 0.352183
kings 18 3.16964
thank 12 2.1131
ears 26 4.57837
manipulated 2 0.954243
decidedly 1 0.477121
tugged 1 0.477121
cover 11 1.937
assumes 1 0.477121
until 10 1.76091
fair 34 5.9871
lasts 1 0.176091
bagged 1 0.477121
tastefully 1 0.477121
none 34 5.9871
constituents 1 0.477121
before 303 0
ought 8 1.40873
tumble 4 1.90849
obscurely 2 0.954243
steelkilt 40 19.0849
coll 2 0.954243
destined 7 1.23264
ript 1 0.477121
ve 37 6.51538
trapped 2 0.954243
thorough 3 0.528274
spare 21 10.0195
plaguy 2 0.954243
dense 10 4.77121
feeling 28 13.3594
sustained 3 0.528274
juba 1 0.477121
noways 1 0.477121
wait 7 1.23264
anon 9 1.58482
familiar 5 0.880456
eckermann 1 0.477121
got 46 8.1002
mathematics 2 0.954243
monongahela 1 0.477121
contented 1 0.477121
dusting 2 0.954243
wanings 1 0.477121
overrunningly 1 0.477121
medium 7 0
sounds 12 2.1131
saying 40 7.04365
consciously 1 0.477121
silk 2 0.954243
hearers 2 0.954243
comparing 3 1.43136
capacious 2 0.954243
habituation 1 0.477121
costs 2 0
admire 3 1.43136
toil 12 2.1131
marchant 5 2.38561
glared 4 1.90849
handles 3 1.43136
bremen 2 0.954243
spraining 1 0.477121
soft 31 14.7908
evil 12 2.1131
medicine 3 1.43136
unconcluded 1 0.477121
suit 7 1.23264
erection 2 0.954243
eider 1 0.477121
plank 17 8.11106
staid 2 0.954243
special 16 0
entranced 1 0.477121
narrow 12 2.1131
seer 2 0.954243
yoking 1 0.477121
and 6514 0
skulled 1 0.477121
drive 20 3.52183
speeding 1 0.477121
magnanimity 1 0.477121
perishing 4 1.90849
cubs 3 1.43136
washing 2 0.954243
whirlwinds 1 0.477121
twelve 16 2.81746
immediate 9 0
bolt 8 3.81697
stopping 9 4.29409
modern 18 3.16964
decreed 2 0.352183
coffer 1 0.477121
seam 3 1.43136
sufferable 4 1.90849
habit 3 1.43136
consumptive 1 0.477121
portentous 6 2.86273
cups 4 0.704365
constellation 3 1.43136
deliberated 1 0.477121
redistribution 2 0
person 32 0
flee 5 0.880456
prejudices 3 1.43136
higgledy 1 0.477121
line 160 28.1746
clicked 2 0.954243
outreaching 1 0.477121
receives 3 0.528274
impulsive 2 0.954243
wood 37 6.51538
assignment 1 0.477121
ones 19 3.34573
fulfiller 1 0.477121
envelope 4 1.90849
yourself 26 12.4052
marble 15 7.15682
rears 1 0.477121
stifled 1 0.477121
acute 1 0.176091
threes 3 1.43136
prodigies 3 1.43136
remonstrance 1 0.477121
pervading 6 1.05655
bodied 1 0.477121
apoplectic 1 0.477121
further 62 0
mightily 1 0.176091
important 20 0
begging 4 1.90849
convenient 11 5.24833
cheerfully 2 0.954243
belly 9 4.29409
persuasions 1 0.477121
jacket 22 10.4967
gudgeons 1 0.477121
mallet 3 1.43136
popped 1 0.477121
floating 26 12.4052
inaccessible 2 0.352183
great 307 54.06
marrow 1 0.477121
whereupon 5 2.38561
comprehension 3 1.43136
early 11 1.937
booble 1 0.477121
untoward 3 1.43136
kindred 5 0.880456
shrunk 1 0.477121
catches 2 0.954243
topers 1 0.477121
airth 2 0.954243
possessing 3 1.43136
keeps 8 3.81697
ruffled 1 0.176091
rushed 15 7.15682
paean 1 0.477121
shinbones 2 0.954243
job 15 7.15682
riveted 5 2.38561
aboriginalness 1 0.477121
uproar 1 0.477121
sell 8 3.81697
vital 10 4.77121
reverberating 1 0.477121
pretend 7 3.33985
ticklish 3 1.43136
patronize 1 0.477121
luxurious 2 0.954243
discount 2 0.954243
forgive 1 0.477121
banterings 1 0.477121
yarn 6 2.86273
umbrella 3 1.43136
forty 34 0
sovereignest 1 0.477121
fossiliferous 2 0.954243
cheek 7 1.23264
liquid 2 0.954243
farrago 1 0.477121
eye 88 15.496
speech 4 0.704365
thrilled 1 0.477121
smuggled 1 0.477121
persist 1 0.477121
nose 32 5.63492
affinities 1 0.477121
sag 8 1.40873
rubies 1 0.477121
bedfellow 5 2.38561
burns 4 0.704365
fitting 1 0.176091
prodigiously 1 0.477121
respects 8 3.81697
shelf 5 2.38561
containing 9 0
loath 4 0.704365
risen 3 1.43136
however 96 0
alexander 3 1.43136
geometry 1 0.477121
chestnut 1 0.477121
mock 1 0.477121
vaticans 1 0.477121
bedford 18 8.58818
fetching 4 1.90849
limits 1 0.176091
hogsheads 1 0.477121
purty 1 0.477121
midsummer 1 0.477121
impelled 5 0.880456
canticle 1 0.477121
rips 1 0.477121
whereby 9 4.29409
crowning 3 1.43136
liable 4 0
kick 11 5.24833
fortress 2 0.352183
west 18 0
remembrances 1 0.477121
bought 1 0.176091
peterson 1 0.477121
continued 14 2.46528
lot 6 0
bringing 10 1.76091
unmeasured 1 0.176091
entrance 6 1.05655
l 3 0
viiith 1 0.477121
cause 24 0
morrow 12 5.72546
you 969 0
blackish 1 0.477121
windpipe 2 0.954243
beholding 11 5.24833
secrets 6 2.86273
amputate 1 0.477121
freed 2 0.352183
freeze 1 0.477121
indirect 3 0
enemy 5 0.880456
renegades 2 0.954243
strenuous 1 0.477121
potatoes 1 0.477121
herschel 1 0.477121
bunk 1 0.477121
gouty 1 0.477121
hish 2 0.954243
cleared 5 2.38561
beginner 1 0.477121
otherwise 26 4.57837
us 234 0
waistband 1 0.477121
educational 1 0
uncomfortableness 1 0.477121
fooling 1 0.477121
identical 7 3.33985
eyes 156 27.4702
burnish 1 0.176091
heinousness 1 0.477121
slew 2 0.352183
stayed 7 1.23264
recent 2 0.352183
select 1 0.477121
then 631 0
tightened 1 0.477121
sheep 5 2.38561
contrived 4 1.90849
stuffed 5 2.38561
ungarnished 1 0.477121
doctored 1 0.477121
tempestuous 5 2.38561
vengeful 5 2.38561
gentle 7 1.23264
idolators 1 0.477121
rimmed 1 0.477121
limited 5 0
reg 1 0.477121
quitting 6 2.86273
debel 1 0.477121
sal 3 1.43136
ourselves 15 7.15682
street 14 6.6797
divine 8 3.81697
spliced 1 0.477121
history 23 4.0501
offing 4 1.90849
regent 1 0.176091
words 29 5.10665
consequence 7 3.33985
big 13 2.28919
annals 3 1.43136
johnny 1 0.477121
discreetly 1 0.477121
offering 4 0.704365
thermometer 1 0.477121
grown 20 9.54243
abreast 3 1.43136
movements 3 1.43136
seasoning 1 0.477121
comfortable 9 4.29409
killed 35 6.16319
tufted 4 1.90849
strafford 1 0.477121
roundingly 1 0.477121
hints 10 4.77121
buoy 14 6.6797
lent 2 0.352183
scrutiny 1 0.477121
slope 3 1.43136
rows 9 4.29409
sensible 9 4.29409
lashed 11 1.937
approving 1 0.176091
lbs 7 3.33985
refusing 1 0.477121
civilization 1 0.477121
intent 14 6.6797
parcel 4 1.90849
valour 1 0.477121
straw 2 0.954243
tried 15 2.64137
monument 2 0.954243
ornamented 3 1.43136
sailer 1 0.176091
arranged 1 0.176091
stalls 1 0.477121
spoutings 7 3.33985
somewhere 24 4.22619
nd 1 0.176091
jot 6 2.86273
browne 6 2.86273
obeying 5 2.38561
whistle 1 0.477121
out 539 0
stained 4 0.704365
cymballed 1 0.477121
gallons 5 2.38561
attend 10 1.76091
porcupine 1 0.477121
seaman 13 6.20258
lancer 1 0.477121
stript 3 1.43136
planing 2 0.954243
moccasin 1 0.477121
listened 1 0.477121
crusts 1 0.477121
bust 2 0.954243
uncommonly 7 3.33985
voices 7 3.33985
obedience 8 3.81697
exhort 1 0.477121
teach 5 2.38561
wearing 4 1.90849
crowding 6 2.86273
workmanlike 2 0.954243
clearest 1 0.477121
chamois 1 0.477121
sleeves 5 2.38561
ebb 2 0.954243
remembering 2 0.352183
dearly 2 0.352183
ended 7 1.23264
project 92 0
boil 2 0.954243
palisades 1 0.477121
cleopatra 2 0.954243
folks 3 0.528274
strain 12 5.72546
pantaloons 3 1.43136
chanced 13 2.28919
earlier 5 0.880456
national 3 0.528274
majestical 1 0.477121
dwelling 2 0.352183
way 273 0
claims 1 0.477121
tickled 3 1.43136
parti 1 0.477121
pea 2 0.954243
protruding 1 0.477121
steers 2 0.954243
bleed 1 0.477121
crockery 2 0.954243
slid 16 7.63394
workmen 1 0.477121
pays 3 1.43136
angle 7 3.33985
sporting 4 1.90849
late 30 5.28274
brimming 4 0.704365
vortex 2 0.954243
returned 14 2.46528
asia 5 2.38561
lamp 30 14.3136
periodically 3 1.43136
doze 5 2.38561
compare 7 3.33985
hempen 7 3.33985
knights 6 1.05655
barnacle 1 0.477121
peddler 3 1.43136
dome 3 0.528274
pole 29 13.8365
immersed 2 0.954243
given 37 0
perfectly 6 2.86273
spoken 13 2.28919
mutineer 3 1.43136
jellied 1 0.477121
cupola 1 0.477121
averted 3 0.528274
flour 1 0.477121
while 246 0
opium 1 0.477121
exquisitely 1 0.477121
employed 15 7.15682
pitferren 1 0.477121
commodore 10 4.77121
carthage 1 0.477121
discretion 2 0.954243
assembled 3 0.528274
yellow 23 4.0501
exasperated 6 2.86273
stately 5 0.880456
terrible 22 3.87401
grasped 6 1.05655
tunnel 2 0.954243
fight 19 3.34573
v 7 0
rays 6 2.86273
brewed 2 0.954243
ezekiel 2 0.954243
fata 1 0.477121
dreadfully 3 1.43136
few 95 0
goodness 5 0.880456
harvesting 1 0.477121
equipped 1 0.176091
sticking 6 2.86273
cough 3 1.43136
cheeks 7 3.33985
pained 2 0.352183
need 14 0
uneasiness 2 0.954243
burtons 4 1.90849
inkling 1 0.477121
species 31 14.7908
effeminacy 3 1.43136
truth 36 6.33929
cannibals 11 5.24833
centaurs 2 0.954243
tattooed 8 3.81697
stiff 9 4.29409
home 56 9.86111
concluded 19 3.34573
threshold 4 1.90849
cetology 11 5.24833
missouri 2 0.954243
proudly 3 0.528274
imperfectly 1 0.477121
lying 20 3.52183
continuing 3 1.43136
fogo 1 0.477121
wife 26 4.57837
prophesied 1 0.477121
completely 33 15.745
moving 15 7.15682
plug 4 1.90849
tattooing 6 2.86273
preliminary 8 1.40873
movingly 1 0.477121
tokens 5 2.38561
popping 1 0.477121
eyeing 27 12.8823
conjure 1 0.477121
tropical 4 1.90849
on 1073 0
tanning 3 1.43136
drown 6 2.86273
hot 23 4.0501
canonic 1 0.477121
gibraltar 2 0.954243
unassured 1 0.477121
dents 5 2.38561
transactions 1 0.477121
calm 41 19.562
remove 6 0
heavy 37 6.51538
innate 1 0.477121
pulled 13 2.28919
rugged 1 0.477121
vow 4 1.90849
spices 2 0.954243
tomahawk 19 9.0653
seal 6 2.86273
tears 6 1.05655
silken 3 1.43136
buoyant 7 3.33985
alternately 3 1.43136
regardful 1 0.477121
lashless 1 0.477121
ghastly 5 2.38561
pondered 4 0.704365
whelped 1 0.477121
misanthrope 1 0.477121
beaver 4 1.90849
singing 12 5.72546
brevet 1 0.477121
emblazoned 1 0.176091
bracing 4 1.90849
twisted 9 1.58482
publicly 1 0.477121
bald 3 0
cling 2 0.954243
mummies 2 0.954243
skull 25 11.928
controls 2 0.954243
vindicated 1 0.477121
quicker 2 0.954243
places 20 3.52183
fetor 1 0.477121
conversant 1 0.477121
whaled 1 0.477121
froze 1 0.477121
slipping 5 2.38561
obey 8 3.81697
foundling 2 0.954243
wakes 8 3.81697
hopped 1 0.176091
reviewed 1 0.477121
extremity 9 4.29409
peppered 1 0.477121
purple 6 2.86273
rascal 6 2.86273
parent 1 0.477121
rises 9 4.29409
appellation 3 1.43136
blankness 2 0.954243
sent 17 0
game 22 10.4967
trampling 3 1.43136
prove 13 2.28919
undressing 1 0.477121
live 60 10.5655
roomy 1 0.477121
entrances 2 0.954243
running 46 8.1002
morbid 1 0.477121
shipped 12 5.72546
rehearse 1 0.176091
swash 1 0.477121
accessible 2 0
fascinated 2 0.954243
chased 14 2.46528
settlement 1 0.477121
scrubbed 1 0.477121
threat 2 0.954243
taller 1 0.477121
treacherously 2 0.352183
ploughing 2 0.954243
contemptible 4 1.90849
murdering 3 1.43136
identify 2 0
festival 1 0.477121
butcher 1 0.477121
heathen 3 0.528274
grego 3 1.43136
dreadnaught 1 0.477121
regularity 1 0.477121
trio 1 0.176091
complacent 1 0.477121
hunch 3 1.43136
perishable 1 0.477121
overswarm 1 0.477121
enough 76 13.3829
real 23 10.9738
wipe 1 0.477121
requiring 2 0.352183
ado 3 1.43136
glistened 3 0.528274
manhandle 3 1.43136
polished 7 3.33985
removing 6 1.05655
punchbowl 4 1.90849
nantucketer 22 10.4967
jambs 1 0.477121
appropriate 1 0.477121
screwed 8 3.81697
hues 3 0.528274
hidden 23 4.0501
exclamation 5 2.38561
timid 8 1.40873
fifty 33 5.81101
bending 2 0.954243
coax 1 0.477121
mothers 6 2.86273
mistaking 3 1.43136
ease 9 1.58482
nathan 2 0.954243
waist 11 5.24833
fisheries 4 1.90849
conceived 3 1.43136
takes 26 0
exultation 1 0.477121
handful 6 1.05655
bland 2 0.954243
consciousness 6 1.05655
twitch 2 0.954243
carefully 11 1.937
lackaday 1 0.477121
biscuit 9 4.29409
earnestly 7 1.23264
top 71 12.5025
kindled 2 0.352183
atrocious 1 0.477121
shoulder 12 2.1131
decoction 1 0.477121
blaze 2 0.352183
snatches 3 1.43136
piece 16 7.63394
slides 3 1.43136
savages 10 4.77121
hastier 1 0.477121
schouten 1 0.477121
duels 1 0.477121
scorching 4 1.90849
commentaries 3 1.43136
tranquilly 5 2.38561
blemish 2 0.954243
badly 4 0.704365
polite 5 2.38561
smite 2 0.954243
dry 15 7.15682
pity 10 1.76091
middle 38 0
exposes 2 0.954243
planed 2 0.954243
lionel 3 1.43136
egress 2 0.954243
antics 1 0.477121
aisle 1 0.477121
wordless 1 0.477121
tastin 1 0.477121
shortest 1 0.477121
accompanied 6 1.05655
scuttling 1 0.477121
finding 8 3.81697
dishonor 2 0.954243
aldrovandi 1 0.477121
weeds 2 0.352183
washes 2 0.954243
gloom 12 2.1131
psalmody 3 1.43136
afric 2 0.954243
bill 8 1.40873
enabled 3 1.43136
acted 3 0.528274
anak 1 0.477121
during 32 5.63492
embalmed 6 2.86273
from 1105 0
twitched 3 1.43136
owest 1 0.477121
corroded 3 1.43136
unceremoniously 1 0.477121
carelessly 3 1.43136
heathens 1 0.477121
devoted 2 0.352183
spicin 1 0.477121
bagging 2 0.954243
pitiless 2 0.954243
proceedings 5 2.38561
adoption 1 0.477121
concluding 11 5.24833
paying 6 0
fictitiously 1 0.477121
emerged 5 2.38561
minds 14 6.6797
deliberating 1 0.477121
farmers 1 0.477121
overspread 1 0.477121
spurred 1 0.176091
clouds 12 5.72546
calls 12 2.1131
tobacco 6 2.86273
rags 3 1.43136
extinguished 2 0.954243
butler 1 0.477121
sprang 13 0
sang 1 0
murky 2 0.352183
sort 152 72.5224
wondrously 2 0.352183
conjured 1 0.477121
whoever 5 0.880456
responses 1 0.176091
screamed 1 0.477121
amorous 1 0.477121
flourishing 1 0.477121
stumble 2 0.954243
wheel 6 2.86273
sultan 2 0.954243
sorter 1 0.477121
capting 4 1.90849
persisted 2 0.954243
voyaging 1 0.477121
hatchways 2 0.954243
complaints 1 0.477121
cubic 3 1.43136
cunningly 1 0.477121
enters 5 0.880456
protected 6 0
guineas 1 0.477121
sustains 1 0.477121
fathomless 1 0.477121
mention 15 2.64137
attaining 4 1.90849
ran 24 4.22619
nigh 44 7.74802
sabbee 4 1.90849
plaid 1 0.477121
breadth 10 4.77121
mending 3 1.43136
evangelists 3 1.43136
denominate 1 0.477121
grunted 1 0.477121
puffing 4 1.90849
learning 6 2.86273
dignified 1 0.477121
spying 2 0.954243
gettee 1 0.477121
charitable 5 0
india 5 2.38561
grounds 13 2.28919
lowered 20 9.54243
owns 3 0
winds 21 10.0195
stern 54 9.50893
tattooings 2 0.954243
privilege 7 3.33985
fuss 2 0.954243
siamese 3 1.43136
drunken 3 0.528274
disturbing 2 0.954243
steals 2 0.954243
dies 6 0
boys 35 6.16319
purest 3 1.43136
touch 30 5.28274
handle 14 2.46528
discovery 11 5.24833
waking 6 2.86273
represents 1 0.176091
urged 3 0.528274
burying 2 0.352183
loving 8 1.40873
jealous 2 0.352183
tarried 1 0.176091
needle 12 5.72546
mexico 3 1.43136
changeful 1 0.477121
mainyard 2 0.954243
badger 1 0.477121
affectionate 4 1.90849
pyramidical 2 0.954243
paunch 2 0.954243
confiding 1 0.477121
triangles 1 0.477121
peter 10 4.77121
drought 3 1.43136
measurement 4 1.90849
system 12 2.1131
reply 7 3.33985
seize 8 1.40873
shuffling 2 0.954243
figure 19 9.0653
praying 3 1.43136
recumbent 2 0.954243
flinging 7 1.23264
loop 1 0.477121
unmethodically 2 0.954243
boatswain 1 0.477121
quantity 13 2.28919
strip 10 4.77121
martial 3 0.528274
weakly 1 0.477121
whaling 133 63.4571
hardly 33 5.81101
strikingly 1 0.477121
incarnation 2 0.954243
remember 17 2.99355
pushing 6 2.86273
circumstance 26 12.4052
reported 5 0
drab 5 2.38561
like 647 113.931
crawl 6 2.86273
brawny 6 2.86273
severs 1 0.477121
sending 9 0
wiseish 1 0.477121
supperless 1 0.477121
scrolls 1 0.477121
combining 2 0.352183
jeering 1 0.477121
refreshing 1 0.176091
st 64 0
slit 3 0.528274
flanking 1 0.477121
longest 3 0.528274
draughts 2 0.954243
foregone 1 0.477121
education 1 0.477121
hove 3 1.43136
distinguish 4 1.90849
tension 3 1.43136
sigh 1 0.477121
prometheus 4 1.90849
astern 29 13.8365
assisted 2 0.954243
beset 2 0.954243
buried 14 2.46528
amplify 1 0.477121
sheets 10 4.77121
dismally 2 0.954243
reserved 9 1.58482
close 56 9.86111
cranium 1 0.477121
seemly 1 0.477121
eddystone 2 0.954243
sideways 29 13.8365
crippled 3 1.43136
worth 14 2.46528
enduring 2 0.352183
entire 55 26.2417
shining 2 0.352183
eatable 1 0.477121
marches 2 0.352183
darkens 1 0.477121
exploding 1 0.477121
coaches 1 0.477121
sound 41 7.21974
mentioning 3 1.43136
borne 9 1.58482
folios 2 0.954243
federated 1 0.477121
misbehaviour 1 0.477121
unprecedented 3 1.43136
unite 6 1.05655
pressure 4 1.90849
fairer 1 0.477121
abed 2 0.954243
hob 1 0.477121
conscientious 6 2.86273
prior 7 3.33985
forgetfulness 1 0.477121
cherrying 1 0.477121
fallen 4 0
spiles 1 0.477121
anyhow 2 0.954243
gliding 14 6.6797
troubled 15 2.64137
expensive 2 0.954243
impregnable 4 1.90849
dreams 8 3.81697
deluge 1 0.477121
wrapped 9 4.29409
crowds 5 2.38561
abhorrence 1 0.477121
fiftieth 2 0.954243
outer 20 9.54243
instantly 23 10.9738
dash 9 4.29409
shock 15 7.15682
scaled 1 0.477121
clearly 3 0
vague 10 1.76091
thyself 24 4.22619
closely 14 2.46528
ages 15 2.64137
wealthy 2 0.954243
butterfly 2 0.954243
obligations 2 0.352183
awful 19 9.0653
um 12 0
weigh 5 2.38561
whets 1 0.477121
anchored 5 2.38561
greeks 2 0.954243
stir 4 1.90849
overhanging 2 0.954243
inch 19 9.0653
even 193 0
shalt 3 0.528274
woollen 7 3.33985
unhinted 1 0.477121
hav 5 2.38561
glided 14 2.46528
near 70 12.3264
crucible 2 0.954243
monsters 9 1.58482
months 17 8.11106
blade 8 1.40873
scragg 1 0.477121
chancery 1 0.477121
meal 3 0.528274
inflated 1 0.477121
greece 2 0.954243
strands 2 0.954243
friends 17 2.99355
seven 16 2.81746
sitteth 1 0.477121
daylight 9 1.58482
past 20 3.52183
wrung 1 0.477121
events 15 2.64137
loose 37 0
opened 9 1.58482
secludedness 1 0.477121
destroyer 1 0.176091
soberly 1 0.477121
threatened 4 1.90849
dream 10 4.77121
comical 5 2.38561
bridegroom 1 0.477121
gentlemanlike 2 0.954243
disordered 5 2.38561
propulsion 1 0.477121
hugged 1 0.477121
tightly 3 1.43136
twain 6 1.05655
strove 8 1.40873
snore 1 0.477121
blindly 7 3.33985
collar 2 0.352183
wound 17 2.99355
perceived 14 2.46528
fared 1 0.176091
prevailing 1 0.477121
coats 3 1.43136
aside 29 5.10665
dinting 1 0.477121
harbourless 1 0.477121
reflection 6 1.05655
hearse 11 5.24833
jerk 4 1.90849
pickle 5 2.38561
channel 1 0.477121
hailing 7 3.33985
incessant 5 2.38561
fetched 1 0.477121
changing 2 0.352183
style 5 2.38561
extracting 2 0.954243
m 29 0
obituary 1 0.477121
drew 22 3.87401
dog 19 3.34573
anyways 2 0.954243
staff 7 0
daniel 3 1.43136
digest 2 0.954243
steel 33 5.81101
rubbing 4 1.90849
emotion 5 0.880456
communion 1 0.477121
positive 3 1.43136
dawning 1 0.176091
pottery 1 0.477121
possession 13 0
misgivings 3 1.43136
lees 3 1.43136
uniformity 1 0.477121
issuing 3 1.43136
immutable 1 0.477121
shortly 10 4.77121
bent 12 2.1131
generalizing 1 0.477121
creature 42 7.39583
conversed 3 1.43136
undeniable 2 0.954243
laplandish 1 0.477121
jebb 1 0.477121
begins 11 1.937
reconciled 2 0.954243
dinner 18 8.58818
treated 7 1.23264
medes 1 0.477121
survivors 1 0.176091
rudeness 1 0.477121
philosophers 5 2.38561
staunch 1 0.477121
breeding 2 0.954243
vaulted 2 0.954243
cloven 2 0.352183
unusual 12 2.1131
donning 1 0.477121
swiftness 6 2.86273
chorus 5 0.880456
minus 3 1.43136
quoin 3 1.43136
trowsers 13 6.20258
queer 44 7.74802
impelling 2 0.954243
napkin 1 0.477121
hunted 19 9.0653
sundry 3 1.43136
shivered 6 1.05655
wore 11 1.937
missionaries 1 0.477121
justified 2 0.954243
coloured 8 3.81697
perennial 2 0.954243
misty 3 1.43136
law 28 0
compassion 1 0.477121
slighter 2 0.954243
propriety 2 0.954243
required 3 0
neither 16 2.81746
mould 6 2.86273
caterpillar 1 0.477121
bowsprit 8 3.81697
show 32 5.63492
pale 19 9.0653
confabulations 1 0.477121
unerring 3 1.43136
friendship 2 0.352183
cases 25 4.40228
manners 1 0.477121
rallied 3 1.43136
baronial 2 0.954243
din 4 1.90849
marmora 1 0.477121
completed 6 1.05655
dreamt 1 0.477121
primitively 1 0.477121
flashing 5 0.880456
crushed 8 1.40873
noises 2 0.954243
accustomed 5 2.38561
natured 3 1.43136
passing 23 4.0501
